seed,ablation,split,rows,positives,AUPRC,FPR@95TPR,macro_F1,ECE
20260709,cross_attention_token_shuffle,model_conditioned_high_conflict,96,28,0.6812674727747988,0.8382352941176471,0.7141155449672424,0.07820408083225745
20260709,cross_attention_token_shuffle,independent_lex_benign_multi_ip,606,171,0.7368718774866907,0.45977011494252873,0.7399466796419629,0.07396451921184137
20260709,pooled_mlp_same_tokens,test,3372,1683,0.8711571673040001,0.5192421551213736,0.7810536425731325,0.05701800529585144
20260709,pooled_mlp_same_tokens,model_conditioned_high_conflict,96,28,0.6221959337909481,0.8382352941176471,0.6481607167096511,0.11643196278594711
20260709,pooled_mlp_same_tokens,independent_lex_benign_multi_ip,606,171,0.7162590071105409,0.5057471264367817,0.7345970613309263,0.08843520538026028
20260709,query_only_gate,test,3372,1683,0.8706349717564306,0.5198342214328004,0.7805924636674944,0.05278593369110644
20260709,query_only_gate,model_conditioned_high_conflict,96,28,0.5998518864537141,0.8382352941176471,0.6571428571428571,0.09939894875142759
20260709,query_only_gate,independent_lex_benign_multi_ip,606,171,0.7128504373618365,0.5080459770114942,0.7330360837816551,0.0875423659867764
20260710,fixed_lexical,test,3372,1683,0.86800859469365,0.5192421551213736,0.7852222298475482,0.03857825640282059
20260710,fixed_lexical,model_conditioned_high_conflict,96,28,0.6409203801867431,0.8382352941176471,0.6392914653784219,0.1513015250854449
20260710,fixed_lexical,independent_lex_benign_multi_ip,606,171,0.7205431917178949,0.5172413793103449,0.7400324991875203,0.07956890536437587
20260710,fixed_behavior,test,3372,1683,0.5738444319986198,0.8466548253404381,0.510338671328434,0.09733924111036182
20260710,fixed_behavior,model_conditioned_high_conflict,96,28,0.2986347533236825,1.0,0.29135909683022143,0.5271792995313418
20260710,fixed_behavior,independent_lex_benign_multi_ip,606,171,0.3036214364914525,0.9770114942528736,0.4111523977530058,0.1610221273394
20260710,fixed_average,test,3372,1683,0.8627732991028809,0.5476613380698638,0.7679177481594718,0.14035329910314212
20260710,fixed_average,model_conditioned_high_conflict,96,28,0.5709087968603368,0.75,0.6696826812794698,0.17939650037722973
20260710,fixed_average,independent_lex_benign_multi_ip,606,171,0.6303246481532413,0.6137931034482759,0.7115798476989295,0.12924747071788392
20260710,validation_tuned_constant_gate,test,3372,1683,0.87176335370317,0.5127294256956779,0.7818934349346538,0.07373894140740692
20260710,validation_tuned_constant_gate,model_conditioned_high_conflict,96,28,0.5997973374020555,0.8235294117647058,0.6392914653784219,0.12504649431012432
20260710,validation_tuned_constant_gate,independent_lex_benign_multi_ip,606,171,0.7122708106410951,0.5264367816091954,0.7438891346012089,0.09294129090366188
20260710,cross_attention_with_gate_loss,test,3372,1683,0.879096062205909,0.4985198342214328,0.7952319503459087,0.05199047866273657
20260710,cross_attention_with_gate_loss,model_conditioned_high_conflict,96,28,0.6552818349853131,0.8382352941176471,0.6944444444444444,0.09714592405314895
20260710,cross_attention_with_gate_loss,independent_lex_benign_multi_ip,606,171,0.7491890474062297,0.4804597701149425,0.765015441288482,0.06204100043667717
20260710,cross_attention_no_gate_loss,test,3372,1683,0.876566474946993,0.5085849615156898,0.7897974025974026,0.047338307247771924
20260710,cross_attention_no_gate_loss,model_conditioned_high_conflict,96,28,0.7045909400354782,0.8382352941176471,0.7141155449672424,0.08051244848512781
20260710,cross_attention_no_gate_loss,independent_lex_benign_multi_ip,606,171,0.732587602409381,0.503448275862069,0.7509313887968181,0.07088212194050673
20260710,cross_attention_token_shuffle,test,3372,1683,0.8802877922838273,0.4807578448786264,0.7929912518545046,0.058561498302181915
20260710,cross_attention_token_shuffle,model_conditioned_high_conflict,96,28,0.654956374730704,0.8382352941176471,0.6952380952380952,0.08183705105035535
20260710,cross_attention_token_shuffle,independent_lex_benign_multi_ip,606,171,0.7493632981366015,0.45517241379310347,0.74949010443891,0.0857569618544409
20260710,pooled_mlp_same_tokens,test,3372,1683,0.8708736657433946,0.5174659561870929,0.7804403360587269,0.05653932435661856
20260710,pooled_mlp_same_tokens,model_conditioned_high_conflict,96,28,0.6194352840765169,0.8382352941176471,0.6481607167096511,0.12749342077719714
20260710,pooled_mlp_same_tokens,independent_lex_benign_multi_ip,606,171,0.7161369233485593,0.5011494252873563,0.7345970613309263,0.08857846557399889
20260710,query_only_gate,test,3372,1683,0.8704636121156106,0.5210183540556542,0.7792486960916101,0.05511640370247467
20260710,query_only_gate,model_conditioned_high_conflict,96,28,0.603503436324498,0.8382352941176471,0.6571428571428571,0.10937660681178836
20260710,query_only_gate,independent_lex_benign_multi_ip,606,171,0.7138997385514142,0.5103448275862069,0.7327169700785493,0.08589042282874272
