seed,system,split,missing_rate,rows,positives,AUPRC,FPR@95TPR,macro_F1,ECE
20260709,behavior_masked,with_dns_test_synthetic_missing,0.25,3372,1683,0.5442278870444983,0.8496151568975725,0.5264738362518326,0.1370035188065287
20260709,fixed_average_masked,with_dns_test_synthetic_missing,0.25,3372,1683,0.8339741034625565,0.5979869745411486,0.7573648320560729,0.10485866448420289
20260709,validation_tuned_constant_masked,with_dns_test_synthetic_missing,0.25,3372,1683,0.8683074597587181,0.5085849615156898,0.7818004714177564,0.06801678072715933
20260709,cross_attention_masked,with_dns_test_synthetic_missing,0.25,3372,1683,0.8742384350434301,0.4991119005328597,0.7907449790388881,0.04503055058414448
20260709,lexical_only,with_dns_test_synthetic_missing,0.5,3372,1683,0.86800859469365,0.5192421551213736,0.7852222298475482,0.03857825640282059
20260709,behavior_masked,with_dns_test_synthetic_missing,0.5,3372,1683,0.5195335705422426,0.8638247483718177,0.5049242795112117,0.18354836051839432
20260709,fixed_average_masked,with_dns_test_synthetic_missing,0.5,3372,1683,0.8343278173663776,0.6808762581409118,0.7573155862629547,0.11383609066416563
20260709,validation_tuned_constant_masked,with_dns_test_synthetic_missing,0.5,3372,1683,0.8677719230290888,0.49437537004144466,0.7890722800460832,0.06746781925441694
20260709,cross_attention_masked,with_dns_test_synthetic_missing,0.5,3372,1683,0.8720588197566268,0.5014801657785672,0.788495436647004,0.040204452614631354
20260709,lexical_only,with_dns_test_synthetic_missing,0.75,3372,1683,0.86800859469365,0.5192421551213736,0.7852222298475482,0.03857825640282059
20260709,behavior_masked,with_dns_test_synthetic_missing,0.75,3372,1683,0.5019646346235851,0.9040852575488455,0.44579944475430394,0.23139434090189967
20260709,fixed_average_masked,with_dns_test_synthetic_missing,0.75,3372,1683,0.8439760450449946,0.5855535820011841,0.7498789397901635,0.1394298245381213
20260709,validation_tuned_constant_masked,with_dns_test_synthetic_missing,0.75,3372,1683,0.8665101649311705,0.5156897572528123,0.7885445863712773,0.06594389139948358
20260709,cross_attention_masked,with_dns_test_synthetic_missing,0.75,3372,1683,0.8711603095899837,0.5038484310242747,0.7883363831312614,0.037537108776813356
20260709,lexical_only,with_dns_test_synthetic_missing,1.0,3372,1683,0.86800859469365,0.5192421551213736,0.7852222298475482,0.03857825640282059
20260709,behavior_masked,with_dns_test_synthetic_missing,1.0,3372,1683,0.4991103202846975,1.0,0.3329376854599407,0.2753670775569491
20260709,fixed_average_masked,with_dns_test_synthetic_missing,1.0,3372,1683,0.86800859469365,0.5192421551213736,0.734349360491428,0.16351918558155018
20260709,validation_tuned_constant_masked,with_dns_test_synthetic_missing,1.0,3372,1683,0.86800859469365,0.5192421551213736,0.7888403591940123,0.06406507859607452
20260709,cross_attention_masked,with_dns_test_synthetic_missing,1.0,3372,1683,0.86800859469365,0.5192421551213736,0.7852222298475482,0.0383377867576729
20260709,without_dns_lexical_fallback,without_dns_test,1.0,12085,5796,0.8835797059231075,0.5003975194784545,0.7969942494302624,0.01973758662113432
20260710,lexical_only,with_dns_test_synthetic_missing,0.0,3372,1683,0.86800859469365,0.5192421551213736,0.7852222298475482,0.03857825640282059
20260710,behavior_masked,with_dns_test_synthetic_missing,0.0,3372,1683,0.5738444319986198,0.8466548253404381,0.510338671328434,0.09733924111036182
20260710,fixed_average_masked,with_dns_test_synthetic_missing,0.0,3372,1683,0.8627732991028809,0.5476613380698638,0.7679177481594718,0.14035329910314212
20260710,validation_tuned_constant_masked,with_dns_test_synthetic_missing,0.0,3372,1683,0.87176335370317,0.5127294256956779,0.7818934349346538,0.07373894140740692
20260710,cross_attention_masked,with_dns_test_synthetic_missing,0.0,3372,1683,0.879096062205909,0.4985198342214328,0.7952319503459087,0.05199047866273657
20260710,lexical_only,with_dns_test_synthetic_missing,0.25,3372,1683,0.86800859469365,0.5192421551213736,0.7852222298475482,0.03857825640282059
20260710,behavior_masked,with_dns_test_synthetic_missing,0.25,3372,1683,0.5374907058229565,0.8448786264061575,0.5201283383717069,0.14518510573749424
20260710,fixed_average_masked,with_dns_test_synthetic_missing,0.25,3372,1683,0.8306684014061496,0.6044997039668443,0.7621375345665895,0.11200441183019026
20260710,validation_tuned_constant_masked,with_dns_test_synthetic_missing,0.25,3372,1683,0.8670417911183464,0.5216104203670812,0.7823942116315856,0.0698050878051298
20260710,cross_attention_masked,with_dns_test_synthetic_missing,0.25,3372,1683,0.8781966560803587,0.5050325636471285,0.7959914275887006,0.0458092311573529
20260710,lexical_only,with_dns_test_synthetic_missing,0.5,3372,1683,0.86800859469365,0.5192421551213736,0.7852222298475482,0.03857825640282059
20260710,behavior_masked,with_dns_test_synthetic_missing,0.5,3372,1683,0.509733107104407,0.8798105387803434,0.4949257828634911,0.19529682124960995
20260710,fixed_average_masked,with_dns_test_synthetic_missing,0.5,3372,1683,0.8340553525861532,0.69449378330373,0.7513028626277455,0.11528199065598375
20260710,validation_tuned_constant_masked,with_dns_test_synthetic_missing,0.5,3372,1683,0.8689485479381709,0.5210183540556542,0.7837274667721963,0.06757032844864075
20260710,cross_attention_masked,with_dns_test_synthetic_missing,0.5,3372,1683,0.8730767820812311,0.5180580224985198,0.790386207104522,0.044336185039061
20260710,lexical_only,with_dns_test_synthetic_missing,0.75,3372,1683,0.86800859469365,0.5192421551213736,0.7852222298475482,0.03857825640282059
20260710,behavior_masked,with_dns_test_synthetic_missing,0.75,3372,1683,0.495151562470616,0.9147424511545293,0.4305292751976333,0.24701016254994224
20260710,fixed_average_masked,with_dns_test_synthetic_missing,0.75,3372,1683,0.838581574521603,0.6388395500296034,0.7384413943172708,0.12503625781318384
20260710,validation_tuned_constant_masked,with_dns_test_synthetic_missing,0.75,3372,1683,0.8654840968990578,0.5056246299585554,0.7846937974992146,0.06532562061529289
20260710,cross_attention_masked,with_dns_test_synthetic_missing,0.75,3372,1683,0.8689267613744018,0.5198342214328004,0.7831046566995634,0.03970353672368077
20260710,lexical_only,with_dns_test_synthetic_missing,1.0,3372,1683,0.86800859469365,0.5192421551213736,0.7852222298475482,0.03857825640282059
20260710,behavior_masked,with_dns_test_synthetic_missing,1.0,3372,1683,0.4991103202846975,1.0,0.3329376854599407,0.2753670775569491
20260710,fixed_average_masked,with_dns_test_synthetic_missing,1.0,3372,1683,0.86800859469365,0.5192421551213736,0.734349360491428,0.16351918558155018
20260710,validation_tuned_constant_masked,with_dns_test_synthetic_missing,1.0,3372,1683,0.86800859469365,0.5192421551213736,0.7888403591940123,0.06406507859607452
20260710,cross_attention_masked,with_dns_test_synthetic_missing,1.0,3372,1683,0.868658356367026,0.5192421551213736,0.7852222298475482,0.041323773648958735
20260710,without_dns_lexical_fallback,without_dns_test,1.0,12085,5796,0.8835797059231075,0.5003975194784545,0.7969942494302624,0.01973758662113432
